Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
0,EMERG,446.031250,,0.000000,TSQL,107.2,107.2,023,NN,FM,5.00,,Emergency,,,,
1,SR5W,145.750000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Warszawa,,,,
2,SR5WA,439.350000,-,7.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Warszawa,,,,
3,SR5KPN,438.200000,split,430.600000,Tone,127.3,127.3,,,FM,12.5,,Zamczysko,,,,
4,SR5U,145.775000,-,0.600000,,88.5,88.5,,,FM,12.5,,Ursus,,,,
5,SR5UR,439.300000,-,7.600000,Tone,127.3,88.5,,,FM,12.5,,Ursus,,,,
6,SR5PR,439.175000,-,7.600000,,88.5,88.5,,,FM,12.5,,Pruszków,,,,
7,SR5R,145.600000,-,0.600000,Tone,127.3,88.5,,,FM,12.5,,Pruszków,,,,
8,SR5ND,439.425000,-,7.600000,Tone,127.3,127.3,,,FM,12.5,,Nowy Dwór Mazowiecki,,,,
9,SR5WU,438.775000,-,7.600000,Tone,127.3,88.5,023,NN,FM,5.00,,Warszawa Ursynów,,,,
20,SR8CH,438.675000,-,7.600000,Tone,77.0,88.5,023,NN,FM,5.00,,Chełm,,,,
21,SR8WD,438.975000,-,7.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Włodawa,,,,
22,SR8L,145.675000,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Lublin,,,,
23,SR8LU,439.050000,-,7.600000,,88.5,88.5,023,NN,FM,5.00,,Lublin,,,,
24,SR8S,145.712500,-,0.600000,,88.5,88.5,023,NN,FM,5.00,,Świdnik,,,,
25,SR8SD,439.325000,-,7.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Świdnik,,,,
30,POLICE,172.287500,,0.000000,Tone,71.9,88.5,023,NN,FM,5.00,,,,,,
31,TAXI,467.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,NOAA,137.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
33,APRS,144.800000,,0.000000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
34,KRK,145.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,Call Kraków,,,,
46,PMR 1,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
47,PMR 2,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
48,PMR 3,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
49,PMR 4,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
50,PMR 5,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
51,PMR 6,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
52,PMR 7,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
53,PMR 8,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
